field,field_name,region,year,applied_budget_total_sum,accepted_budget_total_sum,applied_commerc_sum,accepted_commerc_sum,konkurs_budget_mean,konkurs_commerce_mean
2,"Инженерное дело, технологии и технические науки",Белгородская область,2021,10308,103,1776,0,226,NA
3,Здравоохранение и медицинские науки,Белгородская область,2021,2716,148,2114,0,140.31,NA
4,Сельское хозяйство и сельскохозяйственные науки,Белгородская область,2021,2294,7,257,0,238.78,NA
5,Науки об обществе,Белгородская область,2021,3236,57,2507,0,319.31,NA
6,Образование и педагогические науки,Белгородская область,2021,2015,631,247,0,3.47,NA
7,Гуманитарные науки,Белгородская область,2021,515,159,196,0,3.74,NA
8,Искусство и культура,Белгородская область,2021,667,291,465,0,2.42,NA
2,"Инженерное дело, технологии и технические науки",Белгородская область,2022,11453,123,1646,0,317.34,NA
3,Здравоохранение и медицинские науки,Белгородская область,2022,2365,171,1747,0,119.61,NA
4,Сельское хозяйство и сельскохозяйственные науки,Белгородская область,2022,2300,6,104,0,209.76,NA
5,Науки об обществе,Белгородская область,2022,4020,68,1896,0,188.34,NA
6,Образование и педагогические науки,Белгородская область,2022,2426,714,207,0,3.52,NA
7,Гуманитарные науки,Белгородская область,2022,610,155,163,0,5.07,NA
8,Искусство и культура,Белгородская область,2022,827,355,521,0,2.28,NA
2,"Инженерное дело, технологии и технические науки",Белгородская область,2023,12092,62,1594,0,283.01,NA
3,Здравоохранение и медицинские науки,Белгородская область,2023,2647,165,1855,0,47.81,NA
4,Сельское хозяйство и сельскохозяйственные науки,Белгородская область,2023,1968,6,77,0,190.47,NA
5,Науки об обществе,Белгородская область,2023,2656,42,1616,0,188.67,NA
6,Образование и педагогические науки,Белгородская область,2023,2386,343,231,0,8.91,NA
7,Гуманитарные науки,Белгородская область,2023,914,58,58,0,8.66,NA
8,Искусство и культура,Белгородская область,2023,845,321,469,0,3.75,NA
2,"Инженерное дело, технологии и технические науки",Брянская область,2016,5118,3373,553,287,1.77,2.91
3,Здравоохранение и медицинские науки,Брянская область,2016,707,300,767,597,2.49,1.31
4,Сельское хозяйство и сельскохозяйственные науки,Брянская область,2016,785,607,30,30,1.38,1
5,Науки об обществе,Брянская область,2016,1164,851,509,307,1.61,1.73
6,Образование и педагогические науки,Брянская область,2016,658,412,106,93,1.66,1.17
7,Гуманитарные науки,Брянская область,2016,399,208,47,47,2.01,1
8,Искусство и культура,Брянская область,2016,199,135,30,30,1.61,1
2,"Инженерное дело, технологии и технические науки",Брянская область,2017,5242,61,544,0,106.94,NA
3,Здравоохранение и медицинские науки,Брянская область,2017,701,163,869,0,3.86,NA
4,Сельское хозяйство и сельскохозяйственные науки,Брянская область,2017,819,3,11,0,218.83,NA
5,Науки об обществе,Брянская область,2017,1171,78,476,0,26.96,NA
6,Образование и педагогические науки,Брянская область,2017,627,509,131,0,1.44,NA
7,Гуманитарные науки,Брянская область,2017,344,242,26,0,1.38,NA
8,Искусство и культура,Брянская область,2017,273,172,32,0,1.57,NA
2,"Инженерное дело, технологии и технические науки",Брянская область,2018,5099,150,829,0,151.64,NA
3,Здравоохранение и медицинские науки,Брянская область,2018,896,185,871,0,25.25,NA
4,Сельское хозяйство и сельскохозяйственные науки,Брянская область,2018,819,1,10,0,229,NA
5,Науки об обществе,Брянская область,2018,1179,64,601,0,106.51,NA
6,Образование и педагогические науки,Брянская область,2018,762,514,131,0,1.69,NA
7,Гуманитарные науки,Брянская область,2018,317,217,49,0,1.61,NA
8,Искусство и культура,Брянская область,2018,365,198,95,0,1.69,NA
2,"Инженерное дело, технологии и технические науки",Брянская область,2019,5794,89,711,0,105.42,NA
3,Здравоохранение и медицинские науки,Брянская область,2019,977,149,1275,0,91.59,NA
4,Сельское хозяйство и сельскохозяйственные науки,Брянская область,2019,865,4,15,0,71.61,NA
5,Науки об обществе,Брянская область,2019,1405,114,657,0,58.49,NA
6,Образование и педагогические науки,Брянская область,2019,887,566,182,0,1.71,NA
