field,field_name,region,year,applied_budget_total_sum,accepted_budget_total_sum,applied_commerc_sum,accepted_commerc_sum,konkurs_budget_mean,konkurs_commerce_mean
6,Образование и педагогические науки,Астраханская область,2019,2720,568,1245,489,5.41,3
7,Гуманитарные науки,Астраханская область,2019,326,41,342,111,16.89,3.3
8,Искусство и культура,Астраханская область,2019,144,58,57,29,3.02,4.46
1,Математические и естественные науки,Астраханская область,2020,1330,233,244,34,6.79,7.11
2,"Инженерное дело, технологии и технические науки",Астраханская область,2020,6959,1293,1916,869,6.67,4
3,Здравоохранение и медицинские науки,Астраханская область,2020,5605,367,3094,346,26.52,11.35
4,Сельское хозяйство и сельскохозяйственные науки,Астраханская область,2020,671,163,189,79,4.86,15.94
5,Науки об обществе,Астраханская область,2020,1913,270,2647,966,10.16,3.57
6,Образование и педагогические науки,Астраханская область,2020,2827,617,668,211,5.06,3.77
7,Гуманитарные науки,Астраханская область,2020,0,0,461,145,NA,3.51
8,Искусство и культура,Астраханская область,2020,216,54,87,46,5.53,2.18
1,Математические и естественные науки,Астраханская область,2021,1467,215,383,161,7.26,6.45
2,"Инженерное дело, технологии и технические науки",Астраханская область,2021,8743,1244,2329,1076,9.69,5.68
3,Здравоохранение и медицинские науки,Астраханская область,2021,3709,372,2076,278,20.03,8.68
4,Сельское хозяйство и сельскохозяйственные науки,Астраханская область,2021,771,138,312,182,6.6,2.2
5,Науки об обществе,Астраханская область,2021,437,65,3573,1617,7.03,3.02
6,Образование и педагогические науки,Астраханская область,2021,2588,496,783,294,5.66,3.43
7,Гуманитарные науки,Астраханская область,2021,30,11,397,116,2.73,4.38
8,Искусство и культура,Астраханская область,2021,177,82,101,30,2.52,3.17
1,Математические и естественные науки,Астраханская область,2022,1279,210,212,30,6.84,7.07
2,"Инженерное дело, технологии и технические науки",Астраханская область,2022,9843,1297,2677,983,10.92,5.95
3,Здравоохранение и медицинские науки,Астраханская область,2022,4411,363,2494,378,27.08,8.83
4,Сельское хозяйство и сельскохозяйственные науки,Астраханская область,2022,686,119,80,11,6.73,5.09
5,Науки об обществе,Астраханская область,2022,1001,101,3116,1200,13.34,3.35
6,Образование и педагогические науки,Астраханская область,2022,2792,554,750,202,5.72,4.57
7,Гуманитарные науки,Астраханская область,2022,0,0,475,114,NA,8.08
8,Искусство и культура,Астраханская область,2022,236,98,115,40,2.65,2.2
1,Математические и естественные науки,Астраханская область,2023,1128,238,235,33,5.83,7.32
2,"Инженерное дело, технологии и технические науки",Астраханская область,2023,9178,1425,2747,817,9.03,8
3,Здравоохранение и медицинские науки,Астраханская область,2023,3911,412,3687,632,20.42,9.76
4,Сельское хозяйство и сельскохозяйственные науки,Астраханская область,2023,615,141,77,13,5.03,2.61
5,Науки об обществе,Астраханская область,2023,1523,189,3642,1254,10.14,3.25
6,Образование и педагогические науки,Астраханская область,2023,2765,569,1845,1083,5.13,1.77
7,Гуманитарные науки,Астраханская область,2023,136,45,542,111,3.03,6.5
8,Искусство и культура,Астраханская область,2023,171,67,110,29,3.49,2.66
1,Математические и естественные науки,Белгородская область,2016,546,138,150,3,4.49,8.5
2,"Инженерное дело, технологии и технические науки",Белгородская область,2016,7351,1782,3391,2300,4.97,3.02
3,Здравоохранение и медицинские науки,Белгородская область,2016,1554,217,1194,333,12.11,10.24
4,Сельское хозяйство и сельскохозяйственные науки,Белгородская область,2016,1158,390,346,243,3.17,1.4
5,Науки об обществе,Белгородская область,2016,2979,280,6740,3012,17.04,4.43
6,Образование и педагогические науки,Белгородская область,2016,2157,344,1979,831,8.41,3.11
7,Гуманитарные науки,Белгородская область,2016,786,72,608,174,14.74,5.43
8,Искусство и культура,Белгородская область,2016,576,277,328,154,2.42,2.98
NA,NA,Белгородская область,2016,0,0,5,0,NA,NA
1,Математические и естественные науки,Белгородская область,2017,628,152,225,8,5.32,9.95
2,"Инженерное дело, технологии и технические науки",Белгородская область,2017,6991,1598,3168,1911,5.28,3.13
3,Здравоохранение и медицинские науки,Белгородская область,2017,1556,265,1216,444,11.02,4.6
4,Сельское хозяйство и сельскохозяйственные науки,Белгородская область,2017,821,350,408,282,2.46,1.45
5,Науки об обществе,Белгородская область,2017,2295,215,6090,2757,17.71,4.37
6,Образование и педагогические науки,Белгородская область,2017,2270,404,2015,656,7.2,4.1
7,Гуманитарные науки,Белгородская область,2017,847,88,646,172,12.21,5.3
8,Искусство и культура,Белгородская область,2017,634,213,541,215,6.82,4
1,Математические и естественные науки,Белгородская область,2018,817,139,303,33,7.08,15.77
2,"Инженерное дело, технологии и технические науки",Белгородская область,2018,7515,1687,4018,2295,5.59,3.81
3,Здравоохранение и медицинские науки,Белгородская область,2018,2270,324,1564,365,14.22,7.48
4,Сельское хозяйство и сельскохозяйственные науки,Белгородская область,2018,1144,390,391,224,3.17,2.34
5,Науки об обществе,Белгородская область,2018,2569,176,7422,3069,22.49,4.89
6,Образование и педагогические науки,Белгородская область,2018,2626,410,2098,658,8.43,4.54
7,Гуманитарные науки,Белгородская область,2018,818,70,701,187,18.19,4.65
8,Искусство и культура,Белгородская область,2018,619,207,492,180,5.73,3.84
1,Математические и естественные науки,Белгородская область,2019,891,125,345,47,8.55,10.57
2,"Инженерное дело, технологии и технические науки",Белгородская область,2019,7311,1638,3199,1849,5.49,3.33
3,Здравоохранение и медицинские науки,Белгородская область,2019,2808,318,1753,480,15.71,5.56
4,Сельское хозяйство и сельскохозяйственные науки,Белгородская область,2019,1115,410,378,252,3.03,1.79
5,Науки об обществе,Белгородская область,2019,3129,209,6254,2729,25.69,3.54
6,Образование и педагогические науки,Белгородская область,2019,2338,432,1846,578,6.24,4.04
7,Гуманитарные науки,Белгородская область,2019,926,112,663,224,14.56,3.83
8,Искусство и культура,Белгородская область,2019,623,207,518,192,5.89,3.87
